Year,SP_m1,SP_m2,SP_m3,SP_m4,SP_m5,SP_m6,SP_m7,SP_m8,SP_m9,SP_m10,SP_m11,SP_m12,QQQ_m1,QQQ_m2,QQQ_m3,QQQ_m4,QQQ_m5,QQQ_m6,QQQ_m7,QQQ_m8,QQQ_m9,QQQ_m10,QQQ_m11,QQQ_m12
2010,-0.03634235523734497,0.0311947713814531,0.060880057410020116,0.015469908701355228,-0.07945490712890668,-0.0517406582620733,0.06830045379937966,-0.044980656424740584,0.08955485440489297,0.038202160926943396,0.0,0.06685187439910356,-0.06469899352046782,0.046038552244333175,0.07710944914004725,0.02242506526198018,-0.07392387420247404,-0.059756722937833184,0.07258273507696456,-0.05129892059983243,0.1317281694611152,0.06337912783964428,-0.001725292280413182,0.04757116383224935
2011,0.02330066595764424,0.03473744189784678,0.00011999179381971814,0.02896121067828794,-0.011214464867729035,-0.016869680125537134,-0.02000439503996898,-0.054975911824373,-0.06942063197361126,0.10914709474968154,-0.0040636390310492265,0.010448287778483945,0.028277805763657238,0.03160701282854195,-0.004482706779483259,0.028731014047177705,-0.012186945346673417,-0.020254924367466676,0.01665192506124824,-0.050689585794280845,-0.04490824064610366,0.10401992646726188,-0.026919838252730588,-0.0061419708320047395
2012,0.046374288869454494,0.043405509599988346,0.03216388798013803,-0.006675272613749117,-0.06005578055965932,0.04058060921402018,0.011829672563552496,0.025052589127505298,0.025350673869172002,-0.01819791264467152,0.005659766634543484,0.008934684079623612,0.08418418987773268,0.06410046693380322,0.05053033556065545,-0.011694965419239312,-0.07040157150092763,0.03621477586476374,0.009974927566593461,0.05185208536597319,0.00888382498607898,-0.05279264557606966,0.013086785433513493,-0.004669309591107673
2013,0.051189845414175705,0.012759113130147659,0.037970714132186556,0.0192128141700616,0.02360934187650221,-0.01334432749085368,0.05167692008001046,-0.02999269300021279,0.031646644965004134,0.04630707046563365,0.029637523819483702,0.025926566509464788,0.026715928468194594,0.003439141670680712,0.030247925717989288,0.025373810574734756,0.035774487918043496,-0.023952599778347627,0.06313995768395797,-0.003959062502758015,0.04832165745012351,0.049568870285115585,0.0355113760891419,0.029271190753823673
2014,-0.03524820889330249,0.04551548963940255,0.008295493297202361,0.006951701730704363,0.023206169717141956,0.020644971807240564,-0.01343746493719733,0.03946335968171977,-0.013796017090014101,0.023550654642290336,0.027472171051076355,-0.002536963197090847,-0.01921307149184648,0.05152436895661694,-0.027336078032704547,-0.0031937790671842103,0.04485664588336058,0.031237950475975662,0.011819810933092034,0.050094972385627434,-0.0075666083355926395,0.02641990087949031,0.0454634556996556,-0.022406520577013422
2015,-0.029628960788932734,0.0562046108264882,-0.015705594699969128,0.009833812921652196,0.012856178675083374,-0.020312258080391055,0.0225893597258211,-0.06095028144171144,-0.025516230844821797,0.08506003322567479,0.00365517195726639,-0.017282456230635956,-0.020823297016008713,0.07220602751330252,-0.02358976342436281,0.01922369201322227,0.022484142424352038,-0.024840787249668872,0.04557759087466784,-0.06824485014587567,-0.02207315801288523,0.11369925084142274,0.006088524384263216,-0.01594776028070244
2016,-0.04978667960930472,-0.0008258335914643755,0.0672660071465836,0.003940968097680297,0.017011763819410497,0.0034759002711444165,0.036471244907388733,0.0011973725428113813,5.811664527111127e-05,-0.01733709760865132,0.036838400926732184,0.02027176507480588,-0.0691041531936325,-0.01565385242854611,0.068526528662191,-0.03186843877319223,0.04370042310720956,-0.02278005885969625,0.07150819132483366,0.010500862931898558,0.02213519784650053,-0.014572035259414085,0.004359273094688865,0.011322378213924233
2017,0.017894758172902092,0.03929182335508341,0.0012497194708858128,0.009926244910252624,0.014112842742177722,0.006374822959945403,0.020554472041237837,0.0029175215263281817,0.020149222609856743,0.023564282088821553,0.03056588225777679,0.012127867551539717,0.05140107662358506,0.04375051121974294,0.020268492890853418,0.027270156569607407,0.03897306419354862,-0.02317901626810137,0.0406132138943438,0.020735912790860844,-0.0029526641570383205,0.046064109713228385,0.019717463294626647,0.006030737622776394
2018,0.05635928833325288,-0.03636048286430782,-0.0274103841351373,0.005168052671000289,0.024309149266361185,0.005750937653569155,0.037046174332477255,0.03191995259671199,0.005945494476838453,-0.06910437384078183,0.018549585943532954,-0.08804845128580785,0.08757114138471178,-0.012927861022575371,-0.04078869431100063,0.005058679093610019,0.05672885037211284,0.011450760305453,0.02796397523607763,0.05780648176331726,-0.0028160437083212253,-0.085957267069798,-0.0026498680997647517,-0.08660725125326141
2019,0.08006567562595168,0.032415874076446416,0.018100584168693645,0.04085232502866076,-0.06377133664646228,0.06958657614530805,0.015119098804909692,-0.016743122532780763,0.019457876064278734,0.022104999395554437,0.03619777504672239,0.029055653721064223,0.09010741934763722,0.02991199632356456,0.03924600420154922,0.054992587458774,-0.08225151988457224,0.07590015835043284,0.02334803399142049,-0.018995444626506486,0.009178993205096964,0.04380069507406592,0.04069412180293419,0.038863412919937446
2020,-0.0004037407376059621,-0.07916576783749774,-0.1248713735895497,0.12698372430057647,0.04764527876083502,0.01773431234988454,0.058892013527772846,0.06979680275706746,-0.03744360655341672,-0.024933464455112464,0.10877680675408596,0.0370482982007192,0.030384567783333205,-0.06057427789018788,-0.07285846897379356,0.14973758847262286,0.06600874221144504,0.06286677611092939,0.07346531946158019,0.10944718950681565,-0.05778639133667807,-0.03044876519495765,0.11225733186831444,0.04902478588379244
2021,-0.010190534542687257,0.027805632223377286,0.04539916163207569,0.05291067194169852,0.0065658595916180396,0.02242759067108291,0.024412518085953128,0.029759791188467277,-0.04660553628787878,0.07016359931005689,-0.008034881289607831,0.046247931302359824,0.0026135111731762084,-0.0013352406867311872,0.017167409041743076,0.059098344957388305,-0.012012101867857394,0.0626215193911841,0.028609089363341278,0.04218684278823348,-0.056831542722015405,0.07863992124671104,0.019968477403395024,0.011523344843044958
2022,-0.052741280147112324,-0.029517127595334425,0.03759029104606304,-0.08776909704851799,0.0022573812784660863,-0.08246053612254578,0.09208764102381695,-0.04080201781562243,-0.09244581256058004,0.08127539110947524,0.05559162909911963,-0.05762831650161171,-0.08747007593349876,-0.04475975973257795,0.046678838232988795,-0.1359573060317809,-0.015866051409798465,-0.08907895311859781,0.12551746937426156,-0.05132197537120364,-0.1053554553505297,0.039998475866783734,0.055441838723675474,-0.09013664514512709
2023,0.0628874346747148,-0.02514267656877056,0.03707774554924126,0.015974988576216154,0.004616131077196828,0.06479982070818902,0.032733312174374474,-0.016251932135838754,-0.0474345518308108,-0.021708563678450976,0.0913437610063772,0.0456553910543287,0.10642939489304015,-0.0035978627309759537,0.09492707755340746,0.005078978517062405,0.07883800827521203,0.06303847170040733,0.038601032576384586,-0.01483023324928845,-0.050798538816317906,-0.020654774393018327,0.1081881640612603,0.05586969632387273
2024,0.015926412525066214,0.052186909820852945,0.03270185932656733,-0.04031956506061651,0.05057958576521049,0.03528016665523781,0.01210917131402578,0.02336566124174788,0.021004548991797156,-0.008923666609180536,0.0596335283449696,-0.024060081874675232,0.0181920388554917,0.05283350570988543,0.012749637827125904,-0.04373765650705852,0.06151810194801133,0.06470129007279701,-0.016780981460166378,0.011038610449878528,0.026215895664551514,-0.00864631986926978,0.053508270824590864,0.004540348068842404
2025,0.026856408076720406,-0.012694939642037606,-0.05571909772666972,-0.008670229175496758,0.06284501787581465,0.051386182837998895,0.023031505020404186,0.020519492148202145,0.03562036952182912,0.023837458474752493,0.0019499283249213573,0.000797497311368911,0.021634018008989342,-0.027034705936174186,-0.07586187332090355,0.013968278932421363,0.09178277196982876,0.06385849813564914,0.024236833500665744,0.009539653822342675,0.05376224939799523,0.047803880471976035,-0.015610359277056673,-0.0066992758225147275
2026,0.014737781623702428,0.00021680769457388394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012306486283210294,-0.016723791943206168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
