week,qqq_pred_1w,qqq_pred_1w_cum,qqq_pred_1w_cum_nrst,qqq_actual_1w,qqq_actual_1w_cum,qqq_actual_1w_cum_nrst,qqq_pred_1m,qqq_pred_1m_cum,qqq_pred_1m_cum_nrst,qqq_actual_1m,qqq_actual_1m_cum,qqq_actual_1m_cum_nrst,qqq_pred_6m,qqq_actual_6m,sp_pred_1w,sp_pred_1w_cum,sp_pred_1w_cum_nrst,sp_actual_1w,sp_actual_1w_cum,sp_actual_1w_cum_nrst,sp_pred_1m,sp_pred_1m_cum,sp_pred_1m_cum_nrst,sp_actual_1m,sp_actual_1m_cum,sp_actual_1m_cum_nrst,sp_pred_6m,sp_actual_6m
2018-02-19,-0.14705764817848987,-0.7049667138361506,9.17790396136506,0.019484837463546345,0.08058324554661966,1.3478465749431225,-0.006931639398593972,-0.14239852221573276,2.364023563777384,-0.0032400983163095587,0.04804588030731566,1.2940003802600746,0.1758010718163835,0.14980295491871887,-0.12533552491538646,-0.699345124903759,-1.174993843815644,0.005664034842056687,0.03008315174417875,0.9172282852154102,-0.014627889095452696,-0.16379865618365888,-1.496583555799545,-0.010525518300083081,0.018432850765465858,0.8784685025734014,0.11141473333389984,0.1091627822207718
2018-02-26,-0.09053227078783138,-0.7954989846239819,9.087371690577228,-0.012685972029495507,0.06789727351712416,1.3351606029136271,-0.023735488117472545,-0.1661340103332053,2.3402880756599114,0.002933962803404966,0.050979843110720624,1.2969343430634797,0.21334096730427254,0.1420741382446421,-0.08314637670091485,-0.7824915016046738,-1.2581402205165588,-0.020298458536580632,0.009784693207598116,0.8969298266788296,-0.03028837033362769,-0.19408702651728657,-1.5268719261331727,-0.00585052274520137,0.012582328020264488,0.8726179798282,0.10682980885054527,0.09148229924110496
2018-03-05,-0.04754952813852717,-0.8430485127625091,9.039822162438702,0.04256250873385614,0.1104597822509803,1.3777231116474833,-0.022780136174089596,-0.1889141465072949,2.3175079394858216,0.02627243903263385,0.07725228214335447,1.3232067820961135,0.14486000577990832,0.18389349972269253,-0.0633525584158024,-0.8458440600204762,-1.3214927789323612,0.03502892014509251,0.04481361335269063,0.9319587468239221,-0.02845414111785312,-0.22254116763513968,-1.5553260672510258,0.015691762835683548,0.028274090855948036,0.8883097426638835,0.05546235378602615,0.11414041965729527
2018-03-12,0.056269627324633587,-0.7867788854378756,9.096091789763335,-0.012323110349537147,0.09813667190144315,1.3654000012979461,-0.005104325472765819,-0.19401847198006072,2.3124036140130557,0.009259565954592458,0.08651184809794693,1.332466348050706,0.09563201843311298,0.17693789655629466,-0.011023320960891647,-0.8568673809813678,-1.3325160998932528,-0.012440566992845459,0.03237304635984517,0.9195181798310766,-0.015345668445651994,-0.23788683608079167,-1.5706717356966777,0.001988482364430777,0.030262573220378813,0.8902982250283142,0.03853163109882196,0.09969812487704266
2018-03-19,0.1333898160614876,-0.653389069376388,9.229481605824823,-0.07343322992797707,0.024703441973466078,1.2919667713699692,-0.00233447110355145,-0.19635294308361217,2.310069142909504,-0.013969950893288396,0.07254189720465853,1.3184963971574175,0.07997976207811475,0.10375087563309271,0.053057276800321906,-0.8038101041810459,-1.279458823092931,-0.06069614893780151,-0.02832310257795634,0.8588220308932751,-0.00616062433326528,-0.24404746041405695,-1.576832360029943,-0.014601563580533772,0.01566100963984504,0.8756966614477805,0.02868730967586175,0.03521430622614952
2018-03-26,0.08955634223309883,-0.5638327271432891,9.319037948057922,0.011609648112203552,0.03631309008566963,1.3035764194821726,-0.09664425514025965,-0.2929971982238718,2.2134248877692446,-0.007896045857863632,0.0646458513467949,1.3106003512995539,-0.21405978811182225,0.09438309854216353,0.019949943524512015,-0.7838601606565339,-1.2595088795684188,0.02073400847142759,-0.007589094106528749,0.8795560393647027,-0.10198132280809645,-0.3460287832221534,-1.6788136828380393,-0.004343446828531716,0.011317562811313325,0.8713532146192488,-0.24957562367080555,0.03931685549051689
2018-04-02,0.03523400106423524,-0.5285987260790539,9.354271949122158,-0.021154611032869197,0.015158479052800433,1.2824218084493033,0.008744952612535078,-0.2842522456113368,2.22216984038178,-0.023825325799544966,0.040820525547249936,1.286775025500009,-0.0009262109354948311,0.07112058559063306,0.050867387354017524,-0.7329927733025163,-1.2086414922144013,-0.013213460093833063,-0.02080255420036181,0.8663425792708697,0.0020996833233343504,-0.34392909989881904,-1.676713999514705,-0.01640404188826311,-0.005086479076949785,0.8549491727309857,-0.039568171685766096,0.026542297112703728
2018-04-09,-0.03500229561412571,-0.5636010216931796,9.319269653508032,0.030179661342732866,0.0453381403955333,1.3126014697920363,-0.035493343418936646,-0.3197455890302734,2.186676496962843,-0.013199632876477463,0.027620892670772473,1.2735753926235316,0.023626811637003975,0.09763082972424353,-0.03468412789263797,-0.7676769011951543,-1.2433256201070393,0.01990226277239704,-0.0009002914279647722,0.8862448420432667,-0.03145467623086835,-0.37538377612968743,-1.7081686757455732,-0.008318334446952486,-0.01340481352390227,0.8466308382840332,-0.021885461605985812,0.04207278746962395
2018-04-16,-0.01993474236574644,-0.583535764058926,9.299334911142285,0.0061753734643750224,0.05151351385990832,1.3187768432564113,-0.042956910035757176,-0.3627024990660306,2.143719586927086,0.006702517971610561,0.034323410642383034,1.280277910595142,-0.032288799064935425,0.11291159156299801,-0.006152728187841516,-0.7738296293829958,-1.2494783482948808,0.005339251898320629,0.004438960470355857,0.8915840939415873,-0.04388722559729615,-0.41927100172698356,-1.7520559013428694,0.008190515762078049,-0.0052142977618242214,0.8548213540461113,-0.0760982642343786,0.048041875925700195
2018-04-23,-0.0026355640806063063,-0.5861713281395324,9.29669934706168,-0.0008444669699571028,0.05066904688995122,1.3179323762864543,-0.03137719940611375,-0.3940796984721443,2.112342387520972,0.003588989201070397,0.03791239984345343,1.2838668997962124,0.05422802622550571,0.07917065468822448,-0.008189473905547029,-0.7820191032885428,-1.2576678222004278,6.0559279461247506e-05,0.004499519749817105,0.8916446532210486,-0.03251904354886258,-0.45179004527584615,-1.7845749448917319,0.0030221534640864633,-0.002192144297737758,0.8578435075101978,0.028213313479992452,0.04049534863820303
