week,QQQ_1M_shock_score,QQQ_1W_shock_score,SP_1M_shock_score,SP_1W_shock_score
2019-05-27,0.4019691825808859,0.8387941986002868,0.5599351169091186,0.6646543546120884
2019-06-03,0.32381829275857293,0.7033942050106883,0.5094654428097504,0.477997740633423
2019-06-10,0.2887623226896912,0.3108916022431519,0.503823098206436,0.47734936111726867
2019-06-17,0.27628770073925957,0.028145597360966845,0.49552796267035665,0.8091862991180646
2019-06-24,0.25927552142316135,0.15383116979611935,0.49210112200821393,0.9864449322925803
2019-07-01,0.7075331061341101,0.5054053559612808,0.749937778769438,1.5675278084355215
2019-07-08,0.5189200102278303,0.8582742227256906,0.6392995334905952,1.8234360659641824
2019-07-15,0.25434204835613694,0.9927018909060509,0.5012931862076515,1.808441945458197
2019-07-22,3.723653372599791,1.2669985361473903,2.790041728699785,1.8971214405419172
2019-07-29,2.983985912810884,0.9665910970837236,2.6957220269344897,1.4344224490187665
2019-08-05,2.7394205149971658,0.8858637359071782,2.777976503130425,1.2620190234854884
2019-08-12,2.3694983013366566,1.2178579258328122,2.432819454819188,1.5082838086318362
2019-08-19,2.2307044310442206,1.076095605016915,2.315366203074182,1.3345060889547435
2019-08-26,2.0434903464322542,1.131117826000919,2.120651093079011,1.3701207387389813
2019-09-02,1.8604908990882885,1.4532512564494446,1.9248190301254937,1.6065191018674576
2019-09-09,1.7112394122624615,1.1168806121972312,1.7379348058386899,1.3899364460694632
2019-09-16,1.5716422894486464,0.6396041363526034,1.5737886223052446,1.0630109369221337
2019-09-23,1.4437720941452492,0.08599537448447248,1.4303980218918777,0.5862765839122841
2019-09-30,1.4369620156690657,0.7987740136869461,1.4299580441916362,0.038136531554617464
2019-10-07,1.37559616844521,1.121065786743817,1.391510699271392,0.2357117738343382
2019-10-14,1.2625467552685885,1.4076766586622396,1.2726181983545395,0.4659595939190383
2019-10-21,1.1809271778811672,1.11631734252848,1.1949146378990965,0.27606544529865396
2019-10-28,1.1409788838544102,1.220806740216447,1.1498901992476407,0.40711752923731376
2019-11-04,1.1026122635023048,1.2748579456290317,1.067542654284583,0.47406297469368036
2019-11-11,1.1104808594757167,1.4052378535252492,1.0497072184631604,0.655669584315785
2019-11-18,1.1021291810225196,1.4275974537705878,1.013340263305996,0.8015202694080885
2019-11-25,1.0994952235625037,1.293931602087737,1.0120474274688591,0.8123134445645388
2019-12-02,1.0948640265538534,1.2348520472576705,1.0144022730797289,0.7849058658601332
2019-12-09,1.051930793412605,1.2003405980398314,0.96366031449225,0.8274648019932916
2019-12-16,0.9850105124913067,0.9605967280147157,0.8731393964547339,0.5589843627621257
2019-12-23,0.9154917937697877,0.8567026705841462,0.743941456122268,0.503744918893612
2019-12-30,0.8720260930702642,0.786073454304123,0.6497113542331913,0.48717462751411983
2020-01-06,0.8933717573858773,0.7014679913237285,0.6093741309150265,0.41717093416490086
2020-01-13,1.1064319781503134,0.433626510799551,0.6960461427696951,0.006146688959579606
2020-01-20,1.062943148027091,0.2684745875817572,0.6109389813793774,0.1857190197737485
2020-01-27,1.1612523580536596,0.23074005353697782,0.7665174707000001,0.21016128397268824
2020-02-03,1.1291408990449223,0.45383031295375953,0.7492176765508172,1.0798930477077742
2020-02-10,1.0436048910514626,0.9687128401137078,0.589899763458296,1.5513445008000497
2020-02-17,0.9344484254392834,1.0378987494892031,0.38235403232881837,1.4683625982993207
2020-02-24,1.05082921178939,0.28664761411724216,0.6825941172712401,0.319582404627068
2020-03-02,1.209580782944334,0.11248059194508023,1.1230776872548274,0.674156139591104
2020-03-09,1.6901989811804665,3.0379909152802442,2.2372154088429426,3.160388331405895
2020-03-16,2.2309387821760827,2.2302176783077146,3.374641306720769,0.30538820066915423
2020-03-23,2.395494590939429,4.697363769254522,3.318992738098692,4.629938788087203
2020-03-30,2.3777295531704263,2.707165198635579,3.082667598072411,1.0581019604344113
2020-04-06,1.9757555229979076,3.150008093168078,2.4245524783529655,1.7370140684770532
2020-04-13,1.1137553126736193,2.3438524264065856,1.3406728376495127,0.9923820153947472
2020-04-20,0.25756698469142114,1.4062557760574763,0.1141153675616819,0.608189831533943
2020-04-27,3.1557582294000994,0.8229371581748677,0.8926363465999814,1.7723798797855839
2020-05-04,2.6012706080885075,0.6499183087825523,2.381729310607489,1.8043659294098953
2020-05-11,4.402616696685426,0.44820173635215727,3.9977402685809813,1.9192890792837247
2020-05-18,3.6943336464675647,0.34198692589628327,3.8082196733051434,1.7907523845023352
2020-05-25,3.065015712905593,0.2540096151817252,3.240548928042546,1.6976404332356816
2020-06-01,2.4295106074199793,0.22810983680875077,2.5771660314471783,1.5085515622812102
2020-06-08,1.8634550043362899,0.19975342622602707,1.9207003137272578,1.569458315207912
2020-06-15,1.6711453819602842,0.34680698769963164,1.7339157051011773,1.4166478167233254
2020-06-22,1.4987812292453029,0.23787735583099975,1.537122827499583,1.4350730057398084
2020-06-29,1.377126887356097,0.20460560444645995,1.4046607673131943,1.3082371429203672
2020-07-06,1.2878325394285626,0.09998273424544676,1.3317474360734274,1.2820259080760175
2020-07-13,1.1830682987898635,0.5568039350960858,1.2049110761385888,0.7297780747822712
2020-07-20,1.1998425137996074,0.4423488006681993,1.1880581653398625,0.7087035322029953
2020-07-27,1.0745916137613134,0.5622615788384916,0.9884099085169993,0.5272411106004204
2020-08-03,0.9937315474882663,0.7250371693132392,0.8996948196287738,0.301861001297564
2020-08-10,0.9245881394592925,0.7815591650787902,0.8873252104178873,0.15408128134710208
2020-08-17,0.8434293524650126,0.860393118382738,0.8344182404099886,0.011925309928562961
2020-08-24,0.7191135551191963,0.8734125259880788,0.6956829531595157,0.10349363913860148
2020-08-31,0.6568562879144928,0.810743128473465,0.6568622327725424,0.11092582410185009
2020-09-07,0.5863421835724208,0.7049720589445124,0.6033855812987093,0.021404834983494287
2020-09-14,0.5135982866889062,0.4095964894940707,0.5488781906940441,0.0202053232257251
2020-09-21,0.3990862623382283,0.4590136308025053,0.42836092184232133,0.10362061538723939
2020-09-28,0.27847508588925746,0.2623869903797688,0.2982775676487058,0.08980511373509277
