week,qqq_1w_error,qqq_1w_sigma,qqq_1w_shock_score,qqq_1w_p95,qqq_1w_p99,qqq_1w_shock_p95_flag,qqq_1w_shock_p99_flag,qqq_1m_error,qqq_1m_sigma,qqq_1m_shock_score,qqq_1m_p95,qqq_1m_p99,qqq_1m_shock_p95_flag,qqq_1m_shock_p99_flag,sp_1w_error,sp_1w_sigma,sp_1w_shock_score,sp_1w_p95,sp_1w_p99,sp_1w_shock_p95_flag,sp_1w_shock_p99_flag,sp_1m_error,sp_1m_sigma,sp_1m_shock_score,sp_1m_p95,sp_1m_p99,sp_1m_shock_p95_flag,sp_1m_shock_p99_flag
2021-02-01,22.400649328011518,0.4251044048619813,1.7436823263501786,2.2188770069097936,2.7538571469992674,False,False,-9.328448680263419,0.20593725155354112,1.9296438427748817,2.5537057765700504,3.3077379023725735,False,False,21.043833577256596,0.4404851573167665,1.721751577039013,2.17818086036575,2.645323210169071,False,False,-9.624186410819362,0.11804664261133573,2.0290335783999325,2.3916897131759103,2.5759389231118526,False,False
2021-02-08,22.43087925958516,0.42212469497461963,1.6885967502224564,2.2188770069097936,2.7538571469992674,False,False,-9.344586074914561,0.20941649095738182,1.836892760990022,2.5537057765700504,3.3077379023725735,False,False,21.070442540059723,0.44404699096246975,1.6414116122229785,2.17818086036575,2.645323210169071,False,False,-9.63123843230985,0.11812291177914905,1.9330980721247415,2.3916897131759103,2.5759389231118526,False,False
2021-02-15,22.464023560593873,0.42314132022568585,1.6336083221075333,2.2188770069097936,2.7538571469992674,False,False,-9.369634345351773,0.21161134114919067,1.7981082591671866,2.5537057765700504,3.3077379023725735,False,False,21.105730964362778,0.44687576627068043,1.5869760461203282,2.17818086036575,2.645323210169071,False,False,-9.64230417121123,0.11771092018390737,1.8815748257080502,2.3916897131759103,2.5759389231118526,False,False
2021-02-22,22.44507708993851,0.4260524243696779,1.465397426994834,2.2188770069097936,2.7538571469992674,False,False,-9.41142316281732,0.21657610009062797,1.817614822035341,2.5537057765700504,3.3077379023725735,False,False,21.115236209401104,0.45021782425236084,1.482699689871598,2.17818086036575,2.645323210169071,False,False,-9.659839579188288,0.11933204291954128,1.8613804513290224,2.3916897131759103,2.5759389231118526,False,False
2021-03-01,22.51561856188833,0.435162482224036,1.4927122613934025,2.2188770069097936,2.7538571469992674,False,False,-9.436531372881175,0.2201604138315282,1.7698747436696982,2.5537057765700504,3.3077379023725735,False,False,21.192717601043697,0.45760879971059365,1.5178225729430415,2.17818086036575,2.645323210169071,False,False,-9.65099056628613,0.11891614177265376,1.6587739638318466,2.3916897131759103,2.5759389231118526,False,False
2021-03-08,22.58976353640464,0.43996774316338044,1.529805955634168,2.2188770069097936,2.7538571469992674,False,False,-9.460471110016215,0.2235641500393865,1.7213362188817343,2.5537057765700504,3.3077379023725735,False,False,21.252279655465617,0.4603751936209704,1.5203649079450963,2.17818086036575,2.645323210169071,False,False,-9.651731273967119,0.11855950082303446,1.5445958517672704,2.3916897131759103,2.5759389231118526,False,False
2021-03-15,22.729457460000933,0.44431416064956086,1.6990710948435646,2.2188770069097936,2.7538571469992674,False,False,-9.484618507415034,0.22541835816852407,1.6843987430559404,2.5537057765700504,3.3077379023725735,False,False,21.347556588045197,0.4615694344875709,1.596690956274536,2.17818086036575,2.645323210169071,False,False,-9.647990479008003,0.1166335673000404,1.414500515987593,2.3916897131759103,2.5759389231118526,False,False
2021-03-22,22.768961325840607,0.44837103070275086,1.645643559657175,2.2188770069097936,2.7538571469992674,False,False,-9.468603149595726,0.22728813396637507,1.4867016093265306,2.5537057765700504,3.3077379023725735,False,False,21.389384677508215,0.4607813937718718,1.5640319240061789,2.17818086036575,2.645323210169071,False,False,-9.614431622165323,0.11549531584297955,1.0459181892061749,2.3916897131759103,2.5759389231118526,False,False
2021-03-29,22.847706288255814,0.4351943703952529,1.7231357901447815,2.2188770069097936,2.7538571469992674,False,False,-9.44850949567618,0.22950219913775718,1.2893946039161783,2.5537057765700504,3.3077379023725735,False,False,21.449484919113072,0.4435246219712856,1.6110720935637115,2.17818086036575,2.645323210169071,False,False,-9.604055777219024,0.11602757722805819,0.8861739359875515,2.3916897131759103,2.5759389231118526,False,False
2021-04-05,22.966001039018376,0.44164642654006514,1.8276736282096206,2.2188770069097936,2.7538571469992674,False,False,-9.427280506315725,0.22835780276640893,1.1099398098175692,2.5537057765700504,3.3077379023725735,False,False,21.55789423013862,0.4443700271753036,1.7157800077385628,2.17818086036575,2.645323210169071,False,False,-9.586908227870824,0.11513847092583393,0.6803122194488905,2.3916897131759103,2.5759389231118526,False,False
2021-04-12,23.13952834759327,0.4585713293729938,1.9986422669208013,2.2188770069097936,2.7538571469992674,False,False,-9.38053621255015,0.22347469136236758,0.8383497793224015,2.5537057765700504,3.3077379023725735,False,False,21.715171273495894,0.4540736638527545,1.88626296377835,2.17818086036575,2.645323210169071,False,False,-9.543709672844018,0.11281873870094777,0.2597080922819118,2.3916897131759103,2.5759389231118526,False,False
