target,window,variable,coef,p_value,t_value
QQQ_1M_FWD_SUM,3y,m_12_x_MA60_MRDI_x_RET_QQQ,-0.3070353435141136,0.3252753472575662,-0.9847234348777133
QQQ_1M_FWD_SUM,3y,m_12_x_MA60_MRDI_x_RET_SP500,0.5878317857629459,0.4496700286126505,0.7566086118059477
QQQ_1M_FWD_SUM,3y,m_12_x_MA60_MRDI_x_dQQQ_D,0.011722977864904172,0.9867976752441759,0.016556374491965425
QQQ_1M_FWD_SUM,3y,m_12_x_MA60_MRDI_x_dQQQ_W,0.6534476570584259,0.28787582116452987,1.0640191561794181
QQQ_1M_FWD_SUM,3y,m_12_x_MA60_MRDI_x_dQQQ_M,-0.3070353434383873,0.32527534737813707,-0.9847234346320529
QQQ_1M_FWD_SUM,3y,m_12_x_MA60_MRDI_x_dQQQ_W_x_RET_QQQ,-16.69973924778015,0.25457561878850055,-1.140724363619459
SP500_1W_FWD_SUM,3y,const,0.0896996590610975,0.04194997934305415,2.0396857489650064
SP500_1W_FWD_SUM,3y,VIX,0.0011855314685375185,0.08258215159834108,1.739674493292404
SP500_1W_FWD_SUM,3y,US10Y,-0.007517248456625043,0.3035839034125103,-1.0299254022197433
SP500_1W_FWD_SUM,3y,USDJPY,-0.00042204685989990354,0.2038501991563868,-1.2724587470120605
SP500_1W_FWD_SUM,3y,RET_QQQ,-0.11070830695102284,0.7223112886807522,-0.35558818544109727
SP500_1W_FWD_SUM,3y,RET_SP500,0.00587169143960134,0.9840039208101976,0.020060311925428696
SP500_1W_FWD_SUM,3y,RET_NASDAQ,-0.5312143976221857,0.3166844260028872,-1.0023807845792128
SP500_1W_FWD_SUM,3y,RET_DOW,0.20564293430031472,0.4269073248813671,0.7951968720517575
SP500_1W_FWD_SUM,3y,RET_VIX,-0.03856365935583357,0.04395711591024599,-2.0200282561733327
SP500_1W_FWD_SUM,3y,RET_US10Y,-0.08157908773373458,0.4936689058094486,-0.6850293985982016
SP500_1W_FWD_SUM,3y,RET_USDJPY,0.04124267650063072,0.7180706966418099,0.36125938370069394
SP500_1W_FWD_SUM,3y,RET_GOLD,0.04981112059653932,0.450845293763238,0.7546470238722661
SP500_1W_FWD_SUM,3y,RET_TLT,-0.172276172371175,0.3435659320374747,-0.9481162544468715
SP500_1W_FWD_SUM,3y,RET_QQQ_MA20,0.7478053637082454,0.9895784670553455,0.013068897180848743
SP500_1W_FWD_SUM,3y,RET_SP500_MA20,-52.35526205832758,0.5503824266258559,-0.5976258385918315
SP500_1W_FWD_SUM,3y,RET_NASDAQ_MA20,1.5309163051925494,0.8007897048941042,0.2524704908536203
SP500_1W_FWD_SUM,3y,RET_DOW_MA20,-2.071119714126895,0.38821087294819556,-0.8636818002989044
SP500_1W_FWD_SUM,3y,RET_VIX_MA20,0.18278642394394745,0.27035866259434405,1.1035596664756848
SP500_1W_FWD_SUM,3y,RET_US10Y_MA20,4.245227120363757,0.003290965365510255,2.9545702046370854
SP500_1W_FWD_SUM,3y,RET_USDJPY_MA20,0.19195258579304075,0.8883575098757263,0.1404603313259776
SP500_1W_FWD_SUM,3y,RET_GOLD_MA20,-0.7177820488284109,0.2845629115644688,-1.0713689661025243
SP500_1W_FWD_SUM,3y,RET_TLT_MA20,5.370084894664813,0.011326915488268734,2.5426455960740317
SP500_1W_FWD_SUM,3y,RET_QQQ_MA60,-40.069755506317655,4.629665123740699e-05,-4.112688379148079
SP500_1W_FWD_SUM,3y,RET_SP500_MA60,-37.03969467132042,0.00038399917784688744,-3.5771653041071616
SP500_1W_FWD_SUM,3y,RET_NASDAQ_MA60,60.61834988851872,1.6716019686055214e-07,5.314017692007677
SP500_1W_FWD_SUM,3y,RET_DOW_MA60,1.4246498027258672,0.7974948350305087,0.25673863659124946
SP500_1W_FWD_SUM,3y,RET_VIX_MA60,-0.36903591586494183,0.3576257242147366,-0.9208185634035482
SP500_1W_FWD_SUM,3y,RET_US10Y_MA60,3.1882550862552668,0.2864305981810585,1.0672183489596831
SP500_1W_FWD_SUM,3y,RET_USDJPY_MA60,-2.5039657861335005,0.4787521288509603,-0.7088870359329753
SP500_1W_FWD_SUM,3y,RET_GOLD_MA60,-2.641346995322868,0.10171930938835198,-1.639839049178859
SP500_1W_FWD_SUM,3y,RET_TLT_MA60,9.431377520576893,0.061086572473227393,1.8774476491930416
SP500_1W_FWD_SUM,3y,MRDI_Short,-0.004907329481605613,0.5528919664768871,-0.5938666434002252
SP500_1W_FWD_SUM,3y,MRDI_Long,-0.004607771875947337,0.5859708914287348,-0.5450663745532173
SP500_1W_FWD_SUM,3y,MA20_MRDI,-0.0028490501288202033,0.16992141773584765,-1.3746013575129399
SP500_1W_FWD_SUM,3y,MA60_MRDI,0.0019144592824298326,0.43162007113040063,0.7871116982985521
SP500_1W_FWD_SUM,3y,RiskScore,0.056003994770204686,0.5041863677129692,0.668440352470094
SP500_1W_FWD_SUM,3y,RET_QQQ_20D,0.22057701495522064,0.8559017790252909,0.18169499988438756
SP500_1W_FWD_SUM,3y,RET_SP500_20D,0.8358674416690015,0.6583078343663344,0.442536910380004
SP500_1W_FWD_SUM,3y,dQQQ_D,-0.11070830669893506,0.7223112892693507,-0.35558818465472797
SP500_1W_FWD_SUM,3y,dQQQ_W,0.14404485133759937,0.6032646063262185,0.5200689759472453
SP500_1W_FWD_SUM,3y,dQQQ_M,0.22057701496708204,0.8559017790146746,0.18169499989792234
SP500_1W_FWD_SUM,3y,dSP500_D,0.005871691362015791,0.9840039210215543,0.020060311660335395
SP500_1W_FWD_SUM,3y,dSP500_W,-0.3620199667299496,0.03157850451099501,-2.156263937974448
SP500_1W_FWD_SUM,3y,dSP500_M,0.8358674416579128,0.658307834365849,0.44253691038067544
SP500_1W_FWD_SUM,3y,wd_0_x_MRDI_Short,-0.0009942181151931153,0.7235997300246516,-0.35386735101537786
SP500_1W_FWD_SUM,3y,wd_0_x_MRDI_Long,-0.0004976735409484478,0.8666480304434673,-0.1680111482582528
SP500_1W_FWD_SUM,3y,wd_0_x_RET_QQQ,-0.004098701107383779,0.9873124262503451,-0.015910795326049002
SP500_1W_FWD_SUM,3y,wd_0_x_RET_SP500,0.1993539548149173,0.6148028731284673,0.5035710270136666
SP500_1W_FWD_SUM,3y,wd_1_x_MRDI_Short,-0.000525298705036419,0.8585718320463939,-0.17829197537814245
SP500_1W_FWD_SUM,3y,wd_1_x_MRDI_Long,-0.0018279632768339704,0.533456248635315,-0.6232066616325073
SP500_1W_FWD_SUM,3y,wd_1_x_RET_QQQ,0.08986824375346933,0.7237242631453056,0.353701081046066
SP500_1W_FWD_SUM,3y,wd_1_x_RET_SP500,0.13973227283592576,0.7216506274750938,0.3564709695449752
SP500_1W_FWD_SUM,3y,wd_2_x_MRDI_Short,0.0008688306138684111,0.7766860601129922,0.28380617960731047
