variable,coef,p_value,t_value
wd_2_x_MRDI_Long,-0.00148510007046632,0.4605463512934742,-0.7380295822969568
m_6_x_RET_SP500,-0.14266309411495495,0.4642012379213858,-0.7320274226046847
RET_QQQ,0.29067540868925723,0.513602779025217,0.6533052325607905
RET_SP500_MA60,-4.097401931126177,0.5153193465417292,-0.650644041316662
MA60_MRDI,0.0007550713321121793,0.5186566155174988,0.6454834153798066
wd_0_x_MRDI_Long,-0.0011714537003804056,0.537317541661724,-0.6169357738148866
RET_DOW_MA60,-2.2411380392756755,0.5599102359298783,-0.5830310902478321
RET_US10Y_MA60,0.5439512459496315,0.5633707683962954,0.5778975459715554
RET_GOLD,0.043786392119825476,0.6096316342828421,0.5106456994910341
RET_TLT_MA20,-0.610086005150034,0.6153969656039266,-0.5024299698258418
m_9_x_RET_SP500,0.09168741691336062,0.645857293023896,0.45956495280089865
m_5_x_RET_QQQ,0.05979667751807388,0.6801972611312332,0.4122286884218617
wd_1_x_MRDI_Short,-0.0007578068577158755,0.6988402940138092,-0.3869184506506844
RET_USDJPY,0.04783378972968759,0.7281418557188778,0.3476263908083986
RET_SP500,0.14766181907733528,0.7979022159114767,0.2560826158314354
m_3_x_RET_SP500,0.037669687196556945,0.8043913984078245,0.24768679160272333
wd_4_x_MRDI_Short,-0.0004998661371648817,0.8093246755814856,-0.2413157228150889
RET_GOLD_MA20,0.12114437352679072,0.8230616107772114,0.2236258414199998
m_4_x_RET_QQQ,-0.030483365602764656,0.8431242127485504,-0.19791364707734632
RET_DOW,-0.0509882712464942,0.8821732165785667,-0.1482257520451154
wd_3_x_MRDI_Long,-0.00029163409721010025,0.8992252818826563,-0.1266493341197456
m_9_x_RET_QQQ,0.01032544008067401,0.9512546690146586,0.06113568437536201
