window,variable,coef,p_value,t_value
all,m_7_x_RET_SP500,0.14086999257885166,0.45276470019777615,0.7508983848217528
all,m_8_x_RET_QQQ,-0.5132305301895247,0.00035416164486452926,-3.5756189402663012
all,m_8_x_RET_SP500,0.23789301657743714,0.17619787916054858,1.352830480908988
all,m_9_x_RET_QQQ,0.01032148726552484,0.9512732535808168,0.06111234683060277
all,m_9_x_RET_SP500,0.0916935938649823,0.6458348368436838,0.45959623544951295
all,m_10_x_RET_QQQ,0.20405299067748472,0.2195443830058281,1.227962237233012
all,m_10_x_RET_SP500,-0.36963851820663113,0.05400492944611056,-1.9274510618671814
all,m_11_x_RET_QQQ,0.2602191915451574,0.06690556776732494,1.832882917669564
all,m_11_x_RET_SP500,-0.28224980564708674,0.10581241172940216,-1.6177263946471665
all,m_12_x_RET_QQQ,-0.7073701603243862,2.5133168672294825e-05,-4.219297349001435
all,m_12_x_RET_SP500,0.7314832606868681,0.00010902260129247844,3.874036165770428
1y,const,0.9810641340172169,4.232970425301036e-06,4.749309278762349
1y,VIX,0.0043359759355762785,2.479630987581863e-05,4.332500309010967
1y,US10Y,0.015927403577994458,0.41427004268708256,0.8183504172110887
1y,USDJPY,-0.007514469351840926,5.473331438893492e-09,-6.136787608532834
1y,RET_QQQ,1.0032540775472316,0.40773784325979556,0.829878976049254
1y,RET_SP500,0.8976848394796235,0.48065981729223717,0.7067532311296546
1y,RET_NASDAQ,-2.08859479284326,0.09056294746603594,-1.7018306108703958
1y,RET_DOW,0.12299337021863017,0.8369197334160976,0.20614185104245278
1y,RET_VIX,-0.020971902800042696,0.5325228475249202,-0.6254006340880005
1y,RET_US10Y,0.04340640556515611,0.8909855515880745,0.13725686621145614
1y,RET_USDJPY,0.22988594616898309,0.3708870773375822,0.8971205903835133
1y,RET_GOLD,-0.0040525708572846965,0.9772612404763408,-0.028543447755293903
1y,RET_TLT,0.8704111951337009,0.06549067620636416,1.8535242205128244
1y,RET_QQQ_MA20,19.821441775206672,0.886131563665195,0.14340977239315678
1y,RET_SP500_MA20,-26.57507216750078,0.8922540058041437,-0.13564984628144985
1y,RET_NASDAQ_MA20,61.743627543835906,5.216673904677054e-06,4.701413606547813
1y,RET_DOW_MA20,-7.968854232101892,0.12434399207796305,-1.5442095031398388
1y,RET_VIX_MA20,-0.18002371569467668,0.621162478455578,-0.49508313202458365
1y,RET_US10Y_MA20,5.8521271116332025,0.22339332490700214,1.2218879870201937
1y,RET_USDJPY_MA20,13.112492385402986,0.0005266054850042606,3.532419285752005
1y,RET_GOLD_MA20,2.1224354049128396,0.14701346861925574,1.456618942119223
1y,RET_TLT_MA20,3.185330086281125,0.6412182297147011,0.4668075175723282
1y,MRDI_Short,-0.059537304252803604,0.006564174843517789,-2.7511229939904154
1y,MRDI_Long,-0.04699188923266871,0.04409175315708297,-2.027853441437378
1y,MA20_MRDI,0.0015254982384179897,0.6872056743340724,0.4033193180367659
